,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,629,89,0,paris,12,irish,0,126659
1,851,91,7,paris,12,irish,0,126659
2,573,304,23,paris,12,irish,0,126659
3,331,100,10,paris,12,irish,0,126659
4,27,256,32,paris,12,irish,0,126659
5,946,264,10,paris,12,irish,0,126659
6,767,191,0,paris,12,irish,0,126659
7,66,189,11,paris,12,irish,0,126659
8,576,231,8,paris,12,irish,0,126659
9,903,91,0,paris,12,irish,0,126659
10,808,359,13,paris,12,irish,0,126659
11,580,144,10,paris,12,irish,0,126659
12,338,200,27,paris,12,irish,0,126659
13,41,138,10,paris,12,irish,0,126659
14,823,255,9,paris,12,irish,0,126659
15,359,144,9,paris,12,irish,0,126659
16,866,384,13,paris,12,irish,0,126659
17,868,237,10,paris,12,irish,0,126659
18,0,248,16,paris,12,irish,0,126659
19,419,138,10,paris,12,irish,0,126659
20,656,124,8,paris,12,irish,0,126659
21,182,165,0,paris,12,irish,0,126659
22,647,146,6,paris,12,irish,0,126659
23,738,125,9,paris,12,irish,0,126659
24,963,138,7,paris,12,irish,0,126659
25,216,212,15,paris,12,irish,0,126659
26,259,140,6,paris,12,irish,0,126659
27,723,87,2,paris,12,irish,0,126659
28,56,252,15,paris,12,irish,0,126659
29,339,258,16,paris,12,irish,0,126659
30,29,267,9,paris,12,irish,0,126659
31,415,129,8,paris,12,irish,0,126659
32,700,181,78,paris,12,irish,0,126659
33,722,197,12,paris,12,irish,0,126659
34,640,197,8,paris,12,irish,0,126659
35,782,271,31,paris,12,irish,0,126659
36,889,195,10,paris,12,irish,0,126659
37,842,372,14,paris,12,irish,0,126659
38,305,197,12,paris,12,irish,0,126659
39,911,156,10,paris,12,irish,0,126659
40,837,347,18,paris,12,irish,0,126659
41,612,231,16,paris,12,irish,0,126659
42,392,194,8,paris,12,irish,0,126659
43,159,258,11,paris,12,irish,0,126659
44,526,365,18,paris,12,irish,0,126659
45,841,89,0,paris,12,irish,0,126659
46,564,94,0,paris,12,irish,0,126659
47,301,136,10,paris,12,irish,0,126659
48,817,250,15,paris,12,irish,0,126659
49,225,195,10,paris,12,irish,0,126659
50,342,122,3,paris,12,irish,0,126659
51,942,263,12,paris,12,irish,0,126659
52,192,121,0,paris,12,irish,0,126659
53,998,229,0,paris,12,irish,0,126659
54,188,86,15,paris,12,irish,0,126659
55,602,117,4,paris,12,irish,0,126659
56,94,255,72,paris,12,irish,0,126659
57,357,184,12,paris,12,irish,0,126659
58,663,158,14,paris,12,irish,0,126659
59,254,168,0,paris,12,irish,0,126659
60,803,301,15,paris,12,irish,0,126659
61,975,169,17,paris,12,irish,0,126659
62,306,200,18,paris,12,irish,0,126659
63,314,119,0,paris,12,irish,0,126659
64,133,161,0,paris,12,irish,0,126659
65,634,89,0,paris,12,irish,0,126659
66,95,382,13,paris,12,irish,0,126659
67,885,174,18,paris,12,irish,0,126659
68,614,89,0,paris,12,irish,0,126659
69,741,194,12,paris,12,irish,0,126659
70,825,191,13,paris,12,irish,0,126659
71,28,162,6,paris,12,irish,0,126659
72,449,226,16,paris,12,irish,0,126659
73,467,260,65,paris,12,irish,0,126659
74,148,116,0,paris,12,irish,0,126659
75,379,359,22,paris,12,irish,0,126659
76,756,252,16,paris,12,irish,0,126659
77,748,195,19,paris,12,irish,0,126659
78,227,86,5,paris,12,irish,0,126659
79,858,250,9,paris,12,irish,0,126659
80,62,87,0,paris,12,irish,0,126659
81,176,87,0,paris,12,irish,0,126659
82,299,117,0,paris,12,irish,0,126659
83,863,372,13,paris,12,irish,0,126659
84,397,353,14,paris,12,irish,0,126659
85,477,86,2,paris,12,irish,0,126659
86,986,262,10,paris,12,irish,0,126659
87,790,382,13,paris,12,irish,0,126659
88,560,156,16,paris,12,irish,0,126659
89,150,231,18,paris,12,irish,0,126659
90,992,84,0,paris,12,irish,0,126659
91,980,116,0,paris,12,irish,0,126659
92,684,86,3,paris,12,irish,0,126659
93,17,83,8,paris,12,irish,0,126659
94,910,87,7,paris,12,irish,0,126659
95,577,191,0,paris,12,irish,0,126659
96,708,191,12,paris,12,irish,0,126659
97,645,164,0,paris,12,irish,0,126659
98,119,258,10,paris,12,irish,0,126659
99,257,191,6,paris,12,irish,0,126659
100,595,191,8,paris,12,irish,0,126659
101,492,119,0,paris,12,irish,0,126659
102,509,91,0,paris,12,irish,0,126659
103,736,229,15,paris,12,irish,0,126659
104,323,378,22,paris,12,irish,0,126659
105,238,162,0,paris,12,irish,0,126659
106,584,388,13,paris,12,irish,0,126659
107,165,164,20,paris,12,irish,0,126659
108,229,226,17,paris,12,irish,0,126659
109,447,138,6,paris,12,irish,0,126659
