,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,583,65,56,rome,180,irish,0,351660
1,932,122,112,rome,180,irish,0,351660
2,843,206,281,rome,180,irish,0,351660
3,51,124,140,rome,180,irish,0,351660
4,260,94,139,rome,180,irish,0,351660
5,787,90,111,rome,180,irish,0,351660
6,991,144,196,rome,180,irish,0,351660
7,321,208,277,rome,180,irish,0,351660
8,993,147,196,rome,180,irish,0,351660
9,324,126,139,rome,180,irish,0,351660
10,73,151,195,rome,180,irish,0,351660
11,330,203,281,rome,180,irish,0,351660
12,232,69,56,rome,180,irish,0,351660
13,180,66,56,rome,180,irish,0,351660
14,856,66,55,rome,180,irish,0,351660
15,139,69,56,rome,180,irish,0,351660
16,228,122,112,rome,180,irish,0,351660
17,437,88,56,rome,180,irish,0,351660
18,671,125,138,rome,180,irish,0,351660
19,913,127,137,rome,180,irish,0,351660
20,42,147,195,rome,180,irish,0,351660
21,642,70,57,rome,180,irish,0,351660
22,804,123,140,rome,180,irish,0,351660
23,934,69,56,rome,180,irish,0,351660
24,453,206,279,rome,180,irish,0,351660
25,947,126,140,rome,180,irish,0,351660
26,840,95,112,rome,180,irish,0,351660
27,281,90,112,rome,180,irish,0,351660
28,874,147,195,rome,180,irish,0,351660
29,206,150,196,rome,180,irish,0,351660
30,242,150,196,rome,180,irish,0,351660
31,796,126,141,rome,180,irish,0,351660
32,361,124,138,rome,180,irish,0,351660
33,701,70,56,rome,180,irish,0,351660
34,644,62,140,rome,180,irish,0,351660
35,469,64,113,rome,180,irish,0,351660
36,781,64,55,rome,180,irish,0,351660
37,298,125,140,rome,180,irish,0,351660
38,286,95,112,rome,180,irish,0,351660
39,316,145,196,rome,180,irish,0,351660
40,712,150,194,rome,180,irish,0,351660
41,586,149,198,rome,180,irish,0,351660
42,659,150,193,rome,180,irish,0,351660
43,763,92,112,rome,180,irish,0,351660
44,769,71,55,rome,180,irish,0,351660
45,929,206,280,rome,180,irish,0,351660
46,296,62,56,rome,180,irish,0,351660
47,273,126,138,rome,180,irish,0,351660
48,552,86,111,rome,180,irish,0,351660
49,452,144,195,rome,180,irish,0,351660
50,944,210,276,rome,180,irish,0,351660
51,328,64,56,rome,180,irish,0,351660
52,563,147,194,rome,180,irish,0,351660
53,854,204,277,rome,180,irish,0,351660
54,536,94,110,rome,180,irish,0,351660
55,621,69,56,rome,180,irish,0,351660
56,46,204,277,rome,180,irish,0,351660
57,473,213,277,rome,180,irish,0,351660
58,897,207,276,rome,180,irish,0,351660
59,380,69,56,rome,180,irish,0,351660
60,838,125,140,rome,180,irish,0,351660
61,293,63,113,rome,180,irish,0,351660
62,151,211,278,rome,180,irish,0,351660
63,774,144,194,rome,180,irish,0,351660
64,513,70,56,rome,180,irish,0,351660
65,786,204,281,rome,180,irish,0,351660
66,347,71,56,rome,180,irish,0,351660
67,696,87,112,rome,180,irish,0,351660
68,739,150,196,rome,180,irish,0,351660
69,112,69,55,rome,180,irish,0,351660
70,550,70,113,rome,180,irish,0,351660
71,686,87,57,rome,180,irish,0,351660
72,38,87,56,rome,180,irish,0,351660
73,423,207,280,rome,180,irish,0,351660
74,641,90,111,rome,180,irish,0,351660
75,396,92,111,rome,180,irish,0,351660
76,895,207,277,rome,180,irish,0,351660
77,144,71,56,rome,180,irish,0,351660
78,345,122,111,rome,180,irish,0,351660
79,816,63,56,rome,180,irish,0,351660
80,636,87,138,rome,180,irish,0,351660
81,156,64,56,rome,180,irish,0,351660
82,386,93,55,rome,180,irish,0,351660
83,48,63,112,rome,180,irish,0,351660
84,824,211,278,rome,180,irish,0,351660
85,486,149,195,rome,180,irish,0,351660
86,681,127,140,rome,180,irish,0,351660
87,759,145,195,rome,180,irish,0,351660
88,399,145,193,rome,180,irish,0,351660
89,440,95,111,rome,180,irish,0,351660
90,471,147,194,rome,180,irish,0,351660
91,555,125,138,rome,180,irish,0,351660
92,953,88,112,rome,180,irish,0,351660
93,694,123,55,rome,180,irish,0,351660
