,hotel_id,price,stock,city,date,language,mobile,avatar_id
0,886,83,111,madrid,50,spanish,0,314073
1,673,126,193,madrid,50,spanish,0,314073
2,798,181,280,madrid,50,spanish,0,314073
3,870,61,56,madrid,50,spanish,0,314073
4,538,106,113,madrid,50,spanish,0,314073
5,393,109,140,madrid,50,spanish,0,314073
6,982,130,198,madrid,50,spanish,0,314073
7,2,79,194,madrid,50,spanish,0,314073
8,120,111,138,madrid,50,spanish,0,314073
9,164,107,142,madrid,50,spanish,0,314073
10,836,129,195,madrid,50,spanish,0,314073
11,174,128,197,madrid,50,spanish,0,314073
12,322,78,56,madrid,50,spanish,0,314073
13,768,188,278,madrid,50,spanish,0,314073
14,378,109,138,madrid,50,spanish,0,314073
15,619,106,112,madrid,50,spanish,0,314073
16,609,128,196,madrid,50,spanish,0,314073
17,697,109,138,madrid,50,spanish,0,314073
18,138,59,56,madrid,50,spanish,0,314073
19,149,131,194,madrid,50,spanish,0,314073
20,20,61,56,madrid,50,spanish,0,314073
21,102,181,278,madrid,50,spanish,0,314073
22,936,109,138,madrid,50,spanish,0,314073
23,615,80,110,madrid,50,spanish,0,314073
24,175,81,112,madrid,50,spanish,0,314073
25,909,57,56,madrid,50,spanish,0,314073
26,252,130,195,madrid,50,spanish,0,314073
27,310,56,138,madrid,50,spanish,0,314073
28,791,82,113,madrid,50,spanish,0,314073
29,108,82,56,madrid,50,spanish,0,314073
30,458,61,113,madrid,50,spanish,0,314073
31,439,80,110,madrid,50,spanish,0,314073
32,847,83,114,madrid,50,spanish,0,314073
33,297,180,280,madrid,50,spanish,0,314073
34,717,185,275,madrid,50,spanish,0,314073
35,633,109,140,madrid,50,spanish,0,314073
36,737,131,196,madrid,50,spanish,0,314073
37,54,77,140,madrid,50,spanish,0,314073
38,79,84,112,madrid,50,spanish,0,314073
39,126,78,112,madrid,50,spanish,0,314073
40,789,56,56,madrid,50,spanish,0,314073
41,721,59,111,madrid,50,spanish,0,314073
42,444,79,112,madrid,50,spanish,0,314073
43,575,79,111,madrid,50,spanish,0,314073
44,561,59,56,madrid,50,spanish,0,314073
45,235,110,140,madrid,50,spanish,0,314073
46,860,108,140,madrid,50,spanish,0,314073
47,600,55,56,madrid,50,spanish,0,314073
48,527,108,139,madrid,50,spanish,0,314073
49,313,59,55,madrid,50,spanish,0,314073
50,483,81,55,madrid,50,spanish,0,314073
51,7,81,56,madrid,50,spanish,0,314073
52,413,177,282,madrid,50,spanish,0,314073
53,800,80,56,madrid,50,spanish,0,314073
54,127,60,112,madrid,50,spanish,0,314073
55,964,109,140,madrid,50,spanish,0,314073
56,411,80,56,madrid,50,spanish,0,314073
57,75,82,112,madrid,50,spanish,0,314073
58,93,178,280,madrid,50,spanish,0,314073
59,351,77,57,madrid,50,spanish,0,314073
60,733,83,112,madrid,50,spanish,0,314073
61,39,81,112,madrid,50,spanish,0,314073
62,710,83,111,madrid,50,spanish,0,314073
63,205,76,57,madrid,50,spanish,0,314073
64,384,132,195,madrid,50,spanish,0,314073
65,689,76,112,madrid,50,spanish,0,314073
66,822,129,195,madrid,50,spanish,0,314073
67,966,59,56,madrid,50,spanish,0,314073
68,284,109,141,madrid,50,spanish,0,314073
69,454,84,113,madrid,50,spanish,0,314073
70,258,129,195,madrid,50,spanish,0,314073
71,414,56,111,madrid,50,spanish,0,314073
72,233,110,138,madrid,50,spanish,0,314073
73,901,184,276,madrid,50,spanish,0,314073
74,857,81,112,madrid,50,spanish,0,314073
75,499,126,195,madrid,50,spanish,0,314073
